dataset_id,n_rows,n_features,n_classes,numeric_feature_ratio,categorical_feature_ratio,mean_cardinality,max_cardinality,class_imbalance_ratio,missing_rate,duplicate_rate,train_test_duplicate_rate,feature_shift_proxy
wdbc,569,30,2,1.0,0.0,0.0,0.0,1.6839622641509433,0.0,0.0,0.0,0.5110470221273545
ozone-level-8hr,2534,72,2,1.0,0.0,0.0,0.0,14.8375,0.0,0.0031570639305445,0.0039421813403416,0.5017432469373343
phoneme,5404,5,2,1.0,0.0,0.0,0.0,2.407313997477932,0.0,0.0016654330125832,0.00308261405672,0.5037887897226273
steel-plates-fault,1941,33,2,1.0,0.0,0.0,0.0,1.8841010401188707,0.0,0.0,0.0,0.4923209710411294
wall-robot-navigation,5456,24,4,1.0,0.0,0.0,0.0,6.722560975609756,0.0,0.0,0.0,0.4993262384377788
cnae-9,1080,856,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0259259259259259,0.037037037037037,0.4767538702723888
first-order-theorem-proving,6118,51,6,1.0,0.0,0.0,0.0,5.255144032921811,0.0,0.1006864988558352,0.1350762527233115,0.5129350406522403
churn,5000,20,2,0.8,0.2,4.25,10.0,6.072135785007072,0.0,0.0,0.0,0.483426168852516
texture,5500,40,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0049090909090909,0.0072727272727272,0.4758998631723372
optdigits,5620,64,10,1.0,0.0,0.0,0.0,1.032490974729242,0.0,0.0,0.0,0.4885450774559233
pendigits,10992,16,10,1.0,0.0,0.0,0.0,1.0843601895734598,0.0,0.0,0.0,0.5024329862017097
satimage,6430,36,6,1.0,0.0,0.0,0.0,2.4496,0.0,0.0,0.0,0.501550302678233
segment,2310,19,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0969696969696969,0.1471861471861472,0.4794138040891287
vowel,990,12,11,0.8333333333333334,0.1666666666666666,8.5,15.0,1.0,0.0,0.0,0.0,0.4566735172795779
climate-model-simulation-crashes,540,18,2,1.0,0.0,0.0,0.0,10.73913043478261,0.0,0.0,0.0,0.4709484616892024
car,1728,6,4,0.0,1.0,3.5,4.0,18.615384615384617,0.0,0.0,0.0,0.492768590102172
dna,3186,180,3,0.0,1.0,2.0,2.0,2.1620915032679737,0.0,0.0580665411173885,0.0794979079497908,0.4982585042473144
splice,3190,60,3,0.0,1.0,4.783333333333333,6.0,2.1577574967405475,0.0,0.0579937304075235,0.089864158829676,0.5176401965621532
eucalyptus,736,19,5,0.7368421052631579,0.2631578947368421,15.4,27.0,2.038095238095238,0.0320366132723112,0.0,0.0,0.5358857205657226
PhishingWebsites,11055,30,2,0.0,1.0,2.2666666666666666,3.0,1.2570436913025724,0.0,0.4767073722297603,0.6183298160988845,0.4926141055593071
GesturePhaseSegmentation,9873,32,5,1.0,0.0,0.0,0.0,2.9559118236472948,0.0,0.0,0.0,0.5095287465645707
MiceProtein,1080,77,8,1.0,0.0,0.0,0.0,1.4285714285714286,0.0167869167869167,0.0,0.0,0.4780643738977072
dresses-sales,500,12,2,0.0833333333333333,0.9166666666666666,14.090909090909092,24.0,1.380952380952381,0.1391666666666666,0.002,0.0,0.5460875331564986
